,course_title,url,price,num_subscribers,level,Rating,content_duration,published_timestamp
0,Learn HTML5 Programming From Scratch,https://www.udemy.com/learn-html5-programming-from-scratch/,0.0,268923.0,Beginner Level,0.82,10.5,2013-02-14T07:03:41Z
1,Coding for Entrepreneurs Basic,https://www.udemy.com/coding-for-entrepreneurs-basic/,0.0,161029.0,Expert Level,0.69,3.5,2013-06-09T15:51:55Z
2,The Web Developer Bootcamp,https://www.udemy.com/the-web-developer-bootcamp/,200.0,121584.0,Beginner Level,0.89,43.0,2015-11-02T21:13:27Z
3,Build Your First Website in 1 Week with HTML5 and CSS3,https://www.udemy.com/build-your-first-website-in-1-week/,0.0,120291.0,All Levels,0.78,3.0,2014-04-08T16:21:30Z
4,The Complete Web Developer Course 2.0,https://www.udemy.com/the-complete-web-developer-course-2/,200.0,114512.0,Beginner Level,0.55,30.5,2016-03-08T22:28:36Z
5,Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,0.0,98867.0,All Levels,0.82,3.0,2015-04-13T18:29:47Z
6,Learn Javascript & JQuery From Scratch,https://www.udemy.com/learn-javascript-jquery-from-scratch/,30.0,84897.0,All Levels,0.79,2.0,2013-10-10T15:19:29Z
7,Practical PHP: Master the Basics and Code Dynamic Websites,https://www.udemy.com/code-dynamic-websites/,0.0,83737.0,Intermediate Level,0.85,6.5,2014-07-19T03:02:05Z
8,JavaScript: Understanding the Weird Parts,https://www.udemy.com/understand-javascript/,175.0,79612.0,All Levels,0.69,11.5,2015-03-12T23:19:54Z
9,Angular 4 (formerly Angular 2) - The Complete Guide,https://www.udemy.com/the-complete-guide-to-angular-2/,190.0,73783.0,Beginner Level,0.9,22.0,2016-02-11T07:29:29Z
10,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,0.0,73110.0,All Levels,0.94,2.0,2012-07-27T12:54:57Z
11,Web Development By Doing: HTML / CSS From Scratch,https://www.udemy.com/web-development-learn-by-doing-html5-css3-from-scratch-introductory/,0.0,72932.0,All Levels,0.39,1.0,2013-09-25T00:42:09Z
12,HTML and CSS for Beginners - Build a Website & Launch ONLINE,https://www.udemy.com/html-and-css-for-beginners-crash-course-learn-fast-easy/,0.0,70773.0,All Levels,0.57,6.0,2015-03-19T19:07:12Z
13,Become a Web Developer from Scratch,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,120.0,69186.0,All Levels,0.61,27.5,2011-11-19T21:51:20Z
14,Quickstart AngularJS,https://www.udemy.com/quickstart-angularjs/,0.0,64128.0,Beginner Level,0.96,1.5,2014-11-22T12:42:22Z
15,Learn Responsive Web Development from Scratch,https://www.udemy.com/learn-responsive-web-development-from-scratch/,0.0,59639.0,All Levels,0.55,4.5,2013-12-09T12:16:40Z
16,Learn and Understand AngularJS,https://www.udemy.com/learn-angularjs/,175.0,59361.0,Beginner Level,0.87,7.0,2014-09-24T00:57:25Z
17,Learn and Understand NodeJS,https://www.udemy.com/understand-nodejs/,195.0,58208.0,Beginner Level,0.73,13.0,2015-08-31T21:07:48Z
18,The Complete HTML & CSS Course - From Novice To Professional,https://www.udemy.com/htmlwebsite/,195.0,57422.0,All Levels,0.82,7.5,2015-07-27T16:57:52Z
19,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,https://www.udemy.com/complete-php-course/,195.0,55332.0,Intermediate Level,0.28,20.0,2015-09-22T18:14:08Z
20,Build Websites from Scratch with HTML & CSS,https://www.udemy.com/build-website-scratch/,145.0,51257.0,All Levels,0.76,8.0,2013-09-25T15:59:09Z
21,Modern React with Redux,https://www.udemy.com/react-redux/,180.0,50815.0,All Levels,0.62,26.5,2015-12-28T19:20:21Z
22,Learn PHP Fundamentals From Scratch,https://www.udemy.com/learn-php-fundamentals-from-scratch/,0.0,48650.0,All Levels,0.0,2.0,2013-10-16T08:12:40Z
23,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,50.0,47886.0,All Levels,0.41,12.5,2012-06-18T16:52:34Z
24,Javascript Essentials,https://www.udemy.com/javascript-essentials/,0.0,47062.0,All Levels,0.18,8.5,2016-01-20T19:08:27Z
25,Build Responsive Real World Websites with HTML5 and CSS3,https://www.udemy.com/design-and-develop-a-killer-website-with-html5-and-css3/,195.0,43977.0,All Levels,0.34,12.0,2015-03-24T22:06:26Z
26,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,75.0,43285.0,Beginner Level,0.31,4.0,2013-01-03T00:55:31Z
27,Bootstrap 4 Quick Start: Code Modern Responsive Websites,https://www.udemy.com/bootstrap-4/,0.0,41478.0,All Levels,0.52,3.0,2015-12-30T21:28:31Z
28,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,https://www.udemy.com/angular-2-tutorial-for-beginners/,150.0,40070.0,All Levels,0.74,9.5,2016-03-03T20:17:59Z
29,The Complete Web Developer Masterclass: Beginner To Advanced,https://www.udemy.com/webdevelopercourse/,195.0,37141.0,Beginner Level,0.07,51.0,2016-05-18T00:16:26Z
30,Learn Object Oriented PHP By Building a Complete Website,https://www.udemy.com/learn-object-oriented-php-by-building-a-complete-website/,0.0,36322.0,All Levels,0.68,4.5,2016-03-01T17:38:10Z
31,Web Programming with Python,https://www.udemy.com/web-programming-with-python/,50.0,35267.0,Beginner Level,0.78,4.0,2012-04-25T00:01:43Z
32,Ultimate Web Designer & Developer Course: Build 23 Projects!,https://www.udemy.com/web-developer-course/,200.0,33788.0,Beginner Level,0.31,32.5,2015-08-20T20:55:19Z
33,The Complete Ruby on Rails Developer Course,https://www.udemy.com/the-complete-ruby-on-rails-developer-course/,195.0,33677.0,All Levels,0.77,31.5,2015-10-23T20:29:25Z
34,Learn Angular 2 from Beginner to Advanced,https://www.udemy.com/learn-angular-2-from-beginner-to-advanced/,195.0,32696.0,Beginner Level,0.7,10.0,2016-10-07T00:25:59Z
35,Create An HTML5 Video Player From Scratch,https://www.udemy.com/html5-video-player/,0.0,32260.0,All Levels,0.94,1.5,2014-09-05T19:16:53Z
36,The Complete JavaScript Course For Web Development Beginners,https://www.udemy.com/javascriptcourse/,195.0,31499.0,Beginner Level,0.76,4.0,2015-12-29T17:20:32Z
37,The Original Complete Web Developer Course.,https://www.udemy.com/thecompletewebdeveloper/,20.0,31070.0,Beginner Level,0.07,18.0,2012-10-28T00:13:03Z
38,AngularJS For Beginners,https://www.udemy.com/angularjs-for-beginners-udemy/,0.0,30531.0,All Levels,0.78,3.0,2015-06-30T20:28:22Z
39,Learn E-Commerce Website in PHP & MySQL From Scratch!,https://www.udemy.com/ecommerce-website-in-php-mysqli/,0.0,29990.0,Beginner Level,0.95,17.5,2014-08-10T10:27:28Z
40,Angular 2+ with Typescript - Essential Training,https://www.udemy.com/angular-2-training/,195.0,29348.0,Beginner Level,0.31,3.0,2016-11-29T04:08:03Z
41,PHP for Beginners -Become a PHP Master - Project Included,https://www.udemy.com/php-for-complete-beginners-includes-msql-object-oriented/,200.0,28880.0,Beginner Level,0.4,30.5,2015-02-14T00:54:08Z
42,Javascript - From Beginner to Pro-Build real world JS apps,https://www.udemy.com/javascript-from-beginner-to-pro-best-course/,195.0,28694.0,All Levels,0.05,11.5,2016-12-11T21:16:42Z
43,Essentials of JavaScript Practice Coding Exercises Tips,https://www.udemy.com/essentials-of-javascript-practice-coding-exercises-tips/,80.0,28125.0,Beginner Level,0.38,2.0,2015-09-25T22:30:00Z
44,The Complete JavaScript Course: Build a Real-World Project,https://www.udemy.com/the-complete-javascript-course/,195.0,27801.0,Beginner Level,0.21,17.5,2016-10-14T22:52:23Z
45,Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,20.0,26800.0,All Levels,0.32,3.0,2014-02-13T20:39:33Z
46,EMMET Faster HTML & CSS workflow - Best Tool For Developers,https://www.udemy.com/emmet-start-coding-html-and-css-fast-and-easy/,0.0,26697.0,Beginner Level,0.15,1.0,2015-04-09T16:36:06Z
47,Become a Certified Web Developer,https://www.udemy.com/become-a-certified-web-developer/,100.0,26673.0,All Levels,0.22,12.0,2011-12-20T15:29:25Z
48,Master the Basics of HTML5 & CSS3: Beginner Web Development,https://www.udemy.com/master-the-basics-of-html5-css3-beginner-web-development/,0.0,26541.0,All Levels,0.15,3.0,2015-05-21T22:47:47Z
49,CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,20.0,25864.0,All Levels,0.78,5.0,2012-10-31T16:39:49Z
50,HTML Workshop,https://www.udemy.com/html-workshop/,20.0,25854.0,All Levels,0.28,2.0,2012-04-08T05:12:43Z
51,Master the MEAN Stack - Learn By Example,https://www.udemy.com/master-the-mean-stack/,195.0,25799.0,Intermediate Level,0.21,4.5,2016-01-03T23:24:04Z
52,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,195.0,24978.0,All Levels,0.89,7.0,2015-10-27T20:27:11Z
53,The Ultimate Web Developer How To Guide,https://www.udemy.com/learn-web-development-complete-step-by-step-guide-to-success/,200.0,24861.0,Beginner Level,0.85,22.5,2015-11-26T04:31:11Z
54,Running a Web Development Business: The Complete Guide,https://www.udemy.com/the-complete-guide-to-running-a-web-development-business/,150.0,24575.0,All Levels,0.12,19.5,2015-08-26T19:25:06Z
55,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,20.0,23764.0,Beginner Level,0.14,5.5,2015-10-17T04:52:25Z
56,Learn to Use jQuery UI Widgets,https://www.udemy.com/learn-to-use-jquery-ui-widgets/,0.0,23669.0,Beginner Level,0.96,1.0,2013-06-23T02:38:19Z
57,WordPress Development For Beginners,https://www.udemy.com/wordpress-basic/,95.0,23572.0,All Levels,0.71,2.0,2016-06-20T18:46:15Z
58,"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,195.0,23412.0,All Levels,0.07,45.0,2013-04-08T00:46:14Z
59,1 Hour JavaScript,https://www.udemy.com/1-hour-javascript/,200.0,22999.0,All Levels,0.24,1.0,2013-07-04T15:27:02Z
60,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",https://www.udemy.com/build-responsive-website-using-html5-css3-js-and-bootstrap/,95.0,22623.0,All Levels,0.81,8.0,2016-06-20T18:48:26Z
61,Get Results - Core Principles of Web Development Tricks Tips,https://www.udemy.com/web-development-foundations-base-for-your-coding-environment/,75.0,22355.0,Beginner Level,0.04,1.5,2015-06-23T20:39:16Z
62,Learn Object Oriented Programming PHP fundamentals bootcamp,https://www.udemy.com/learn-object-oriented-programming-php-fundamentals-bootcamp/,100.0,22213.0,All Levels,0.78,1.0,2015-08-11T18:52:58Z
63,Advanced React and Redux,https://www.udemy.com/react-redux-tutorial/,140.0,21998.0,All Levels,0.8,12.0,2016-03-12T22:13:46Z
64,Become A Web Developer And Seller - Build Websites With HTML,https://www.udemy.com/the-ultimate-building-and-selling-websites-course/,200.0,21730.0,All Levels,0.36,2.5,2013-10-05T12:49:46Z
65,AngularJS Authentication: Secure Your App with Auth0,https://www.udemy.com/angularjs-authentication-with-auth0/,0.0,21689.0,Beginner Level,0.86,1.0,2016-04-01T05:51:48Z
66,MongooseJS Essentials - Learn MongoDB for Node.js,https://www.udemy.com/mongoosejs-essentials/,0.0,21682.0,Beginner Level,0.01,0.7333333333,2016-03-12T16:04:28Z
67,Mastering HTML5 Programming - The Easier Way,https://www.udemy.com/html5-programming-tutorials/,75.0,21653.0,All Levels,0.55,7.0,2013-01-07T11:44:35Z
68,ExpressJS Fundamentals,https://www.udemy.com/expressjs-fundamentals/,0.0,21245.0,All Levels,0.19,1.0,2016-01-11T18:53:48Z
69,Spring Framework 4 And Dependency Injection For Beginners,https://www.udemy.com/spring-framework-video-tutorial/,0.0,21147.0,Beginner Level,0.74,1.5,2015-01-16T07:45:28Z
70,Learn to Setup Websites from Scratch,https://www.udemy.com/learn-to-setup-websites-from-scratch/,0.0,21087.0,Intermediate Level,0.14,3.5,2014-04-14T11:59:11Z
71,Sass Workflow,https://www.udemy.com/sass-workflow/,0.0,20890.0,Beginner Level,0.22,3.0,2015-02-06T15:54:23Z
72,The Complete ASP.NET MVC 5 Course,https://www.udemy.com/the-complete-aspnet-mvc-5-course/,190.0,20652.0,Beginner Level,0.63,7.5,2016-05-16T17:04:54Z
73,HTML Complete Course - Beginner to Expert,https://www.udemy.com/the-complete-html-developer-course/,0.0,20073.0,Intermediate Level,0.03,1.5,2016-02-29T00:15:42Z
74,Joomla 3 - The Basics,https://www.udemy.com/joomla-3-the-basics/,0.0,19909.0,All Levels,0.46,3.0,2014-02-12T01:54:02Z
75,Docker Technologies for DevOps and Developers,https://www.udemy.com/docker-tutorial-for-devops-run-docker-containers/,30.0,19210.0,All Levels,0.57,3.0,2016-08-29T19:02:30Z
76,Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,https://www.udemy.com/learn-to-build-beautiful-html5-and-css3-websites-in-1-month/,50.0,18818.0,Beginner Level,0.89,11.0,2014-06-03T08:48:34Z
77,Learn AngularJS Step By Step,https://www.udemy.com/maruti-angularjs/,20.0,18777.0,Beginner Level,0.88,1.5,2015-07-07T00:08:10Z
78,Joomla: Create a Joomla Website This Weekend With NO CODING!,https://www.udemy.com/joomla-create-a-joomla-website-this-weekend-with-no-coding/,0.0,18496.0,All Levels,0.34,2.0,2014-10-06T20:19:00Z
79,1 Hour CSS,https://www.udemy.com/1-hour-css/,100.0,18324.0,All Levels,0.66,1.0,2013-07-09T20:27:14Z
80,Back to School Web Development and Programming Bundle,https://www.udemy.com/back-to-school-web-development-and-programming-bundle/,200.0,18170.0,All Levels,0.4,44.5,2013-08-19T14:53:00Z
81,Introduction to Web Development,https://www.udemy.com/introduction-to-web-development/,20.0,18143.0,All Levels,0.67,2.0,2013-10-04T13:40:59Z
82,Bootstrap unleash the power faster & easier web development,https://www.udemy.com/bootstrap-3-responsive-design-tutorial-fundamentals/,150.0,18101.0,All Levels,0.74,5.5,2015-08-14T22:44:39Z
83,The Complete PHP CodeIgniter Course: Beginner To Advanced,https://www.udemy.com/codeignitercourse/,195.0,17895.0,Beginner Level,0.59,4.0,2015-12-29T20:19:39Z
84,AngularJS JumpStart with Dan Wahlin,https://www.udemy.com/angularjs-jumpstart/,75.0,17802.0,Beginner Level,0.02,10.0,2014-03-24T17:31:15Z
85,The Complete NodeJS Course: Build a Full Business Rating App,https://www.udemy.com/learn-nodejs-by-building-an-employee-to-business-rating-app/,195.0,17784.0,Beginner Level,0.48,12.5,2017-02-13T17:18:59Z
86,Building Websites JavaScript and the DOM,https://www.udemy.com/building-websites-learn-javascript-and-the-dom/,120.0,17759.0,All Levels,0.14,3.0,2016-09-26T14:48:26Z
87,Learn Python and Django: Payment Processing,https://www.udemy.com/learn-django-code-accept-payments-with-stripe/,70.0,17714.0,All Levels,0.11,3.5,2015-02-09T15:37:56Z
88,Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),https://www.udemy.com/vuejs-2-the-complete-guide/,190.0,17671.0,Intermediate Level,0.53,18.0,2016-11-08T18:55:21Z
89,JavaScript Intro to learning JavaScript web programming,https://www.udemy.com/javascript-intro-to-learning-javascript/,20.0,17554.0,All Levels,0.11,1.5,2015-06-01T20:44:42Z
90,How to Make a Single Page Website for Freelancers & Agencies,https://www.udemy.com/how-to-make-a-portfolio-website-for-freelancers-agencies/,0.0,17463.0,All Levels,0.18,1.5,2015-10-15T20:13:38Z
91,The Professional Ruby on Rails Developer,https://www.udemy.com/pro-rubyonrails/,100.0,17334.0,All Levels,0.45,17.0,2015-02-23T23:18:49Z
92,Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,https://www.udemy.com/angular-2-and-nodejs-the-practical-guide/,150.0,17297.0,Expert Level,0.15,8.5,2016-05-02T23:09:15Z
93,Learning JavaScript Programming Tutorial. A Definitive Guide,https://www.udemy.com/programming-javascript/,50.0,17113.0,Beginner Level,0.24,9.5,2012-11-26T13:51:56Z
94,Adobe Flash for Beginners - Build Flash Website From Scratch,https://www.udemy.com/adobe-flash-for-beginners-build-flash-website-from-scratch/,200.0,17071.0,Intermediate Level,0.76,1.5,2014-03-01T08:48:55Z
95,Try AngularJS: Beginner's Guide to Front End Web Development,https://www.udemy.com/try-angularjs/,50.0,16926.0,Beginner Level,0.61,4.5,2016-10-13T20:38:03Z
96,React JS and Redux - Mastering Web Apps,https://www.udemy.com/react-js-and-redux-mastering-web-apps/,60.0,16829.0,All Levels,0.76,5.0,2017-01-19T04:58:10Z
97,Learn Web Scraping with Node.js,https://www.udemy.com/web-scraping-nodejs/,75.0,16731.0,All Levels,0.66,1.0,2015-12-29T21:59:27Z
98,JavaScript Rockstar How to create Incredible Useful code,https://www.udemy.com/javascript-projects-from-scratch-step-by-step-guide-to-learn/,75.0,16590.0,All Levels,0.26,2.5,2015-10-29T18:30:46Z
99,Build a Responsive Website with a Modern Flat Design,https://www.udemy.com/build-responsive-website-designs-with-html5-and-css/,0.0,16527.0,All Levels,0.68,2.0,2014-03-26T14:23:06Z
100,Become Exceptional in HTML and HTML5,https://www.udemy.com/become-exceptional-in-html-html5/,20.0,16486.0,Beginner Level,0.24,6.5,2014-03-21T08:58:42Z
101,Angular 2 Crash Course with TypeScript,https://www.udemy.com/angular-2-crash-course/,100.0,16409.0,Intermediate Level,0.71,4.0,2016-06-14T19:26:06Z
102,Django Core | A Reference Guide to Core Django Concepts,https://www.udemy.com/django-core/,195.0,16282.0,Beginner Level,0.35,18.5,2016-10-29T19:28:45Z
103,1 Hour HTML,https://www.udemy.com/1-hour-html/,200.0,16212.0,Beginner Level,0.34,1.0,2013-07-09T03:16:26Z
104,The Complete PHP MySQL Professional Course with 5 Projects,https://www.udemy.com/the-complete-php-mysql-professional-course/,200.0,16158.0,All Levels,0.71,19.5,2017-06-07T05:58:36Z
105,Learn Ruby on Rails: Stripe Payment Processing,https://www.udemy.com/learn-ruby-on-rails-stripe-payment-processing/,40.0,15724.0,Beginner Level,0.44,1.5,2016-11-02T22:09:47Z
